date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-12-11,1834.78,1837.32,1820.0,1804.81,30775.79,-12.9,-0.7,1831.06,1788.633,1760.943,42873.36,39007.17,35145.22,0.24
2020-12-10,1840.0,1849.77,1832.9,1828.0,32653.54,-7.1,-0.39,1825.682,1780.423,1755.193,49216.44,38086.45,35014.21,0.26
2020-12-09,1865.95,1866.0,1840.0,1839.0,31152.12,-10.0,-0.54,1808.902,1770.572,1750.288,48586.88,37143.93,34555.18,0.25
2020-12-08,1815.0,1875.0,1850.0,1813.0,61454.0,37.6,2.08,1788.504,1759.26,1744.855,47070.8,36851.35,34740.11,0.49
2020-12-07,1802.7,1840.39,1812.4,1800.55,58331.33,19.29,1.08,1765.904,1750.61,1739.605,40419.24,33952.49,33176.89,0.46
2020-12-04,1752.0,1800.1,1793.11,1752.0,62491.19,44.11,2.52,1746.206,1748.391,1736.114,35140.99,34783.08,32333.8,0.5
2020-12-03,1738.01,1755.66,1749.0,1732.1,29505.78,10.99,0.63,1735.164,1741.076,1731.489,26956.47,30721.42,30361.82,0.23
2020-12-02,1746.0,1749.0,1738.01,1731.0,23571.69,1.01,0.06,1732.242,1738.195,1730.134,25700.97,30552.42,30062.74,0.19
2020-12-01,1726.0,1738.99,1737.0,1720.01,28196.2,23.09,1.35,1730.016,1733.759,1728.213,26631.9,31713.15,29706.34,0.22
2020-11-30,1735.0,1738.9,1713.91,1713.91,31940.07,-23.99,-1.38,1735.316,1731.639,1726.113,27485.73,31415.93,29471.41,0.25
2020-11-27,1732.66,1740.03,1737.9,1718.0,21568.61,3.51,0.2,1750.576,1733.253,1724.118,34425.17,31283.27,28927.72,0.17
2020-11-26,1726.0,1739.99,1734.39,1725.18,23228.3,7.51,0.43,1746.988,1729.963,1720.724,34486.38,31941.96,29152.07,0.18
2020-11-25,1761.5,1768.88,1726.88,1724.0,28226.32,-36.62,-2.08,1744.148,1730.003,1717.804,35403.87,31966.44,29959.34,0.22
2020-11-24,1769.99,1782.5,1763.5,1751.47,32465.36,-26.71,-1.49,1737.502,1730.45,1714.701,36794.39,32628.88,30279.85,0.26
2020-11-23,1771.01,1809.9,1790.21,1771.01,66637.24,70.25,4.08,1727.962,1728.6,1707.776,35346.13,32401.29,30853.8,0.53
2020-11-20,1720.0,1736.0,1719.96,1712.65,21874.66,-0.23,-0.01,1715.93,1723.836,1700.415,28141.38,29884.53,30822.7,0.17
2020-11-19,1684.5,1725.0,1720.19,1680.6,27815.76,26.54,1.57,1712.938,1721.902,1700.184,29397.54,30002.22,30693.55,0.22
2020-11-18,1715.0,1720.53,1693.65,1683.16,35178.95,-22.15,-1.29,1715.858,1722.073,1701.299,28529.01,29573.06,30426.81,0.28
2020-11-17,1740.0,1742.35,1715.8,1701.07,25224.03,-14.25,-0.82,1723.398,1722.666,1703.283,28463.36,27699.53,29612.93,0.2
2020-11-16,1711.0,1730.05,1730.05,1697.26,30613.49,25.05,1.47,1729.238,1720.586,1704.193,29456.45,27526.88,29738.48,0.24
2020-11-13,1724.0,1728.88,1705.0,1691.0,28155.48,-29.79,-1.72,1731.742,1714.982,1702.641,31627.69,26572.17,29169.12,0.22
2020-11-12,1730.01,1750.0,1734.79,1722.27,23473.09,3.44,0.2,1730.866,1711.484,1702.991,30606.9,26362.17,28630.21,0.19
2020-11-11,1745.0,1777.5,1731.35,1731.0,34850.73,-13.65,-0.78,1728.288,1705.605,1702.501,30617.11,27952.24,28266.78,0.28
2020-11-10,1752.92,1764.48,1745.0,1736.0,30189.44,2.43,0.14,1721.934,1698.951,1702.384,26935.7,27930.82,27548.31,0.24
